authors	journal	year	publisher	title	query
KE Nelson, C Weinel, IT Paulsen… 	Environmental …	 2002 	Wiley Online Library	Complete genome sequence and comparative analysis of the metabolically versatile Pseudomonas putida KT2440	AE015451
JI Jiménez, B Miñambres, JL García… 	Environmental …	 2002 	Wiley Online Library	Genomic analysis of the aromatic catabolic pathways from Pseudomonas putida KT2440	AE015451
T Coenye, P Vandamme 	FEMS microbiology letters	 2003 	academic.oup.com	Intragenomic heterogeneity between multiple 16S ribosomal RNA operons in sequenced bacterial genomes	AE015451
MI Ramos-González, A Ben-Bassat… 	Applied and …	 2003 	Am Soc Microbiol	Genetic Engineering of a Highly Solvent-Tolerant Pseudomonas putida Strain for Biotransformation of Toluene to p-Hydroxybenzoate	AE015451
P Phoenix, A Keane, A Patel… 	Environmental …	 2003 	Wiley Online Library	Characterization of a new solvent‐responsive gene locus in Pseudomonas putida F1 and its functionalization as a versatile biosensor	AE015451
SE Lu, JD Soule, DC Gross 	Applied and environmental …	 2003 	Am Soc Microbiol	Characterization of the argA Gene Required for Arginine Biosynthesis and Syringomycin Production by Pseudomonas syringae pv. syringae	AE015451
D Cánovas, I Cases… 	Environmental …	 2003 	Wiley Online Library	Heavy metal tolerance and metal homeostasis in Pseudomonas putida as revealed by complete genome analysis	AE015451
T Eneqvist, E Lundberg, L Nilsson… 	European journal of …	 2003 	Wiley Online Library	The transthyretin‐related protein family	NC_002947
R Favaro, G Deho 	Journal of bacteriology	 2003 	Am Soc Microbiol	Polynucleotide Phosphorylase-Deficient Mutants of Pseudomonas putida	NC_002947
IJ Kim, KC Ko, TS Nam, YW Kim, WI Chung… 	Journal of …	 2003 	koreascience.kr	Expression and Activity of Citrus Phytoene Synthase and -Carotene Hydroxylase in Escherichia coli	NC_002947
I Cases, DW Ussery… 	Environmental …	 2003 	Wiley Online Library	The σ54 regulon (sigmulon) of Pseudomonas putida	NC_002947
E Arias-Barrau, ER Olivera, JM Luengo… 	Journal of …	 2004 	Am Soc Microbiol	The homogentisate pathway: a central catabolic pathway involved in the degradation of L-phenylalanine, L-tyrosine, and 3-hydroxyphenylacetate in Pseudomonas …	AE015451
T Coenye, P Vandamme 	Systematic and applied microbiology	 2004 	Elsevier	Use of the genomic signature in bacterial classification and identification	AE015451
