authors	journal	year	publisher	title	query
K Nelson, I Paulsen, C Weinel, R Dodson… 	Environ …	 2002 	repository.rit.edu	KEYWORDS. SOURCE Pseudomonas putida KT2440 ORGANISM Pseudomonas putida KT2440 Bacteria; Proteobacteria; Gammaproteobacteria; …	AE015451
R Suriya, H Niamsup 	Biotechnology: Benefits & Bioethics	 2006	NA	[CITATION] CLONING OF PARTIAL ACETOLACTATE SYNTHASE GENE FROM PSEUDOMONAS PUTIDA	AE015451
J Stavrinides 	Plant pathogenic bacteria …	 2009 	Norfolk, UK: Caister Academic Press	[CITATION] Origin and evolution of phytopathogenic bacteria	AE015451
王瑞明， 李忠奎， 王腾飞， 刘红娟， 李丕武 	现代食品科技	 2013	NA	[CITATION] 海藻糖合酶基因在毕赤酵母中的表达	AE015451
F Delavat, R Moritz, JR van der Meer 	bioRxiv	 2018 	biorxiv.org	Transient Replication in Specialized Cells Favors Conjugative Transfer of a Selfish DNA Element	NC_002947
M Walsh, W Casey, ST Kenny, T Narancic, LM Blank… 	bioRxiv	 2019 	biorxiv.org	Insights into an alternative pathway for glycerol metabolism in a glycerol kinase deficient Pseudomonas putida KT2440	AE015451
L González-Montes, I del Campo, F de la Cruz… 	bioRxiv	 2019 	biorxiv.org	ArdC protein overpasses the recipient hsdRMS restriction system broadening conjugation host range	AE015451
Y Wang, J Lu, S Zhang, J Li, L Mao, Z Yuan, PL Bond… 	bioRxiv	 2019 	biorxiv.org	Non-antibiotic pharmaceuticals can enhance the spread of antibiotic resistance via conjugation	NC_002947
E Martínez-García, S Fraile, DR Espeso, D Vecchietti… 	bioRxiv	 2020 	biorxiv.org	The naked cell: emerging properties of a surfome-streamlined Pseudomonas putida strain	AE015451
M García-Ulloa, AE Escalante, AM Letelier, LE Eguiarte… 	bioRxiv	 2020 	biorxiv.org	Fast eco-evolutionary changes in bacterial genomes after anthropogenic perturbation	NC_002947
S Rosendahl, H Tamman, A Brauer, M Remm, R Hõrak 	bioRxiv	 2020 	biorxiv.org	Pseudomonas putida chromosomal toxin-antitoxin systems carry neither clear fitness benefits nor big costs	NC_002947
BBK Kwatra 	bioRxiv	 2021 	researchgate.net	WITHDRAWN: In silico prediction and comparison of resistomes in model Pseudomonas strains by Resistance Gene Identifier (RGI)	NC_002947
S Sulser, A Vucicevic, V Bellini, R Moritz, F Delavat… 	bioRxiv	 2021 	biorxiv.org	A bistable orthogonal prokaryotic differentiation system underlying development of conjugative transfer competence	NC_002947
DE Campbell, JR Leigh, T Kim, WE England… 	bioRxiv	 2021 	biorxiv.org	Interrogation of the integrated mobile genetic elements in gut-associated Bacteroidaceae with a consensus prediction approach	NC_002947
C Terrettaz, B Cabete, J Geiser, M Valentini… 	bioRxiv	 2022 	biorxiv.org	KaiC-like proteins improve stress resistance in environmental Pseudomonas species	NC_002947
LT Rodríguez, AJ Ellington, CR Reisch 	bioRxiv	 2022 	biorxiv.org	Broad-host-range mutagenesis with CRISPR-associated transposase	NC_002947
S Klaes, S Madan, D Deobald, M Cooper, L Adrian 	bioRxiv	 2023 	biorxiv.org	Analyzing bacterial community compositions by GroEL-taxoproteomics	NC_002947
